Area Code,Year,Env_Local_Authority_Name,Clinical_Area_Name,Sex,Age,PM2.5_Total,PM2.5_Anthropogenic,PM2.5_Non_Anthropogenic,Condition,Value,Count,Denominator,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Compared to England value or percentiles,Time period
E08000016,2012,Barnsley,Barnsley,Persons,18+ yrs,10.7621,8.7266,2.0355,CKD,6.013519645,11861.0,197238.9,5.909469679,6.118856345,5.850236099,6.180783691,Not compared,2012/13
E08000016,2014,Barnsley,Barnsley,Persons,18+ yrs,11.1677,9.1329,2.0347,CKD,5.531451925,11049.0,199748.6401,5.431972566,5.632220391,5.375499257,5.691381174,Not compared,2014/15
E08000016,2015,Barnsley,Barnsley,Persons,18+ yrs,8.0383,6.9903,1.0481,CKD,5.08494492,10386.0,204250.0,4.99035902,5.180808314,4.936856085,5.236964452,Not compared,2015/16
E08000016,2016,Barnsley,Barnsley,Persons,18+ yrs,8.2493,7.7761,0.4732,CKD,4.804003577,9993.0,208014.0,4.712816906,4.896455,4.661251104,4.950641417,Not compared,2016/17
E08000016,2016,Barnsley,Barnsley,Male,All ages,8.2493,7.7761,0.4732,Alcohol-related CVD,1566.455748,1687.67,118443.0,1491.256894,1644.412442,1449.158269,1690.120304,Worse,2016/17
E08000016,2016,Barnsley,Barnsley,Female,All ages,8.2493,7.7761,0.4732,Alcohol-related CVD,260.9544309,324.97,121618.0,233.2641688,291.0192932,218.3588846,309.0139519,Worse,2016/17
E08000016,2016,Barnsley,Barnsley,Persons,All ages,8.2493,7.7761,0.4732,Alcohol-related CVD,861.3381451,2012.64,240061.0,823.9870912,899.9414356,803.023788,922.5442026,Worse,2016/17
E08000016,2017,Barnsley,Barnsley,Persons,18+ yrs,7.001,6.6609,0.3401,CKD,4.616213457,9768.0,211602.0,4.527521515,4.706155525,4.477307605,4.758955748,Not compared,2017/18
E08000016,2017,Barnsley,Barnsley,Male,All ages,7.001,6.6609,0.3401,Alcohol-related CVD,1662.411905,1828.3,119120.0,1585.662716,1741.863244,1542.645442,1788.417515,Worse,2017/18
E08000016,2017,Barnsley,Barnsley,Female,All ages,7.001,6.6609,0.3401,Alcohol-related CVD,284.8620579,360.57,122167.0,256.122038,315.9364262,240.5958051,334.501286,Worse,2017/18
E08000016,2017,Barnsley,Barnsley,Persons,All ages,7.001,6.6609,0.3401,Alcohol-related CVD,920.9331231,2188.87,241287.0,882.6175543,960.4795381,861.0886213,983.62021,Worse,2017/18
E08000016,2018,Barnsley,Barnsley,Persons,18+ yrs,7.4596,7.1443,0.3153,CKD,4.404934445,9209.0,209061.0,4.317799175,4.4933428,4.268415623,4.545355633,Not compared,2018/19
E08000016,2018,Barnsley,Barnsley,Male,All ages,7.4596,7.1443,0.3153,Alcohol-related CVD,1792.942597,1994.17,119553.0,1713.635025,1874.921558,1669.129252,1922.924721,Worse,2018/19
E08000016,2018,Barnsley,Barnsley,Female,All ages,7.4596,7.1443,0.3153,Alcohol-related CVD,308.9754924,395.66,122807.0,279.1834463,341.0729723,263.0396135,360.2191552,Worse,2018/19
