Area Code,Area Name,Year,Sex,Age,Respiratory (%),Type 2 Diabetes (%),CKD (%),Alcohol-related CVD (rate)
E06000001,Hartlepool,2012,Persons,18+ yrs,,,4.851455837,
E06000001,Hartlepool,2014,Persons,18+ yrs,,,4.231182828,
E06000001,Hartlepool,2015,Persons,18+ yrs,,,4.064044278,
E06000001,Hartlepool,2016,Female,All ages,,,,250.9538039
E06000001,Hartlepool,2016,Male,All ages,,,,1634.432218
E06000001,Hartlepool,2016,Persons,18+ yrs,,,4.985379732,
E06000001,Hartlepool,2016,Persons,All ages,,,,882.8923206
E06000001,Hartlepool,2017,Female,All ages,,,,272.2795239
E06000001,Hartlepool,2017,Male,All ages,,,,1732.295172
E06000001,Hartlepool,2017,Persons,18+ yrs,,,4.726537896,
E06000001,Hartlepool,2017,Persons,All ages,,,,941.2718734
E06000001,Hartlepool,2018,Female,All ages,,,,305.9019432
E06000001,Hartlepool,2018,Male,All ages,,,,1955.789534
E06000001,Hartlepool,2018,Persons,18+ yrs,,,4.908079595,
E06000001,Hartlepool,2018,Persons,All ages,,,,1059.830569
E06000001,Hartlepool,2019,Female,All ages,,,,315.7793875
E06000001,Hartlepool,2019,Male,All ages,,,,1957.586384
E06000001,Hartlepool,2019,Persons,18+ yrs,,,4.705345502,
E06000001,Hartlepool,2019,Persons,All ages,,,,1063.201378
E06000001,Hartlepool,2020,Female,All ages,,,,216.4564913
E06000001,Hartlepool,2020,Male,All ages,,,,1442.936269
E06000001,Hartlepool,2020,Persons,18+ yrs,,,4.645050484,
E06000001,Hartlepool,2020,Persons,6+ yrs,7.169973261,,,
E06000001,Hartlepool,2020,Persons,All ages,,,,775.5718067
E06000001,Hartlepool,2021,Female,All ages,,,,285.5336509
E06000001,Hartlepool,2021,Male,All ages,,,,1811.761381
E06000001,Hartlepool,2021,Persons,16+ yrs,,8.485,,
E06000001,Hartlepool,2021,Persons,18+ yrs,,,4.600810157,
E06000001,Hartlepool,2021,Persons,6+ yrs,7.439779465,,,
E06000001,Hartlepool,2021,Persons,All ages,,,,979.7321484
E06000001,Hartlepool,2022,Female,All ages,,,,297.365015
E06000001,Hartlepool,2022,Male,All ages,,,,1767.679676
E06000001,Hartlepool,2022,Persons,18+ yrs,,,4.606861447,
E06000001,Hartlepool,2022,Persons,6+ yrs,7.633330799,,,
E06000001,Hartlepool,2022,Persons,All ages,,,,970.2659771
E06000001,Hartlepool,2023,Female,All ages,,,,311.27571822551
E06000001,Hartlepool,2023,Male,All ages,,,,1804.4867605967
E06000001,Hartlepool,2023,Persons,18+ yrs,,,4.683808024,
E06000001,Hartlepool,2023,Persons,6+ yrs,7.632251552,,,
E06000001,Hartlepool,2023,Persons,All ages,,,,999.259928653186
E06000002,Middlesbrough,2012,Persons,18+ yrs,,,4.144354906,
E06000002,Middlesbrough,2014,Persons,18+ yrs,,,3.788449022,
E06000002,Middlesbrough,2015,Persons,18+ yrs,,,3.720722549,
E06000002,Middlesbrough,2016,Female,All ages,,,,279.1799526
E06000002,Middlesbrough,2016,Male,All ages,,,,1777.236559
E06000002,Middlesbrough,2016,Persons,18+ yrs,,,3.607271197,
E06000002,Middlesbrough,2016,Persons,All ages,,,,960.9213426
E06000002,Middlesbrough,2017,Female,All ages,,,,272.7763819
E06000002,Middlesbrough,2017,Male,All ages,,,,1742.885795
E06000002,Middlesbrough,2017,Persons,18+ yrs,,,3.445444446,
E06000002,Middlesbrough,2017,Persons,All ages,,,,942.010075
E06000002,Middlesbrough,2018,Female,All ages,,,,287.5789703
E06000002,Middlesbrough,2018,Male,All ages,,,,1731.150537
E06000002,Middlesbrough,2018,Persons,18+ yrs,,,3.366441065,
E06000002,Middlesbrough,2018,Persons,All ages,,,,944.627234
E06000002,Middlesbrough,2019,Female,All ages,,,,276.7387854
E06000002,Middlesbrough,2019,Male,All ages,,,,1694.919581
E06000002,Middlesbrough,2019,Persons,18+ yrs,,,3.252244562,
E06000002,Middlesbrough,2019,Persons,All ages,,,,924.2109804
E06000002,Middlesbrough,2020,Female,All ages,,,,197.9634972
E06000002,Middlesbrough,2020,Male,All ages,,,,1224.85966
E06000002,Middlesbrough,2020,Persons,18+ yrs,,,3.063101302,
E06000002,Middlesbrough,2020,Persons,6+ yrs,6.27046894,,,
E06000002,Middlesbrough,2020,Persons,All ages,,,,664.3265939
E06000002,Middlesbrough,2021,Female,All ages,,,,254.5022769
E06000002,Middlesbrough,2021,Male,All ages,,,,1531.608525
E06000002,Middlesbrough,2021,Persons,16+ yrs,,8.468,,
E06000002,Middlesbrough,2021,Persons,18+ yrs,,,3.046851663,
E06000002,Middlesbrough,2021,Persons,6+ yrs,6.379610879,,,
E06000002,Middlesbrough,2021,Persons,All ages,,,,837.0540293
E06000002,Middlesbrough,2022,Female,All ages,,,,261.7839781
E06000002,Middlesbrough,2022,Male,All ages,,,,1668.992037
E06000002,Middlesbrough,2022,Persons,18+ yrs,,,3.157641794,
E06000002,Middlesbrough,2022,Persons,6+ yrs,6.432388644,,,
E06000002,Middlesbrough,2022,Persons,All ages,,,,907.6004415
E06000002,Middlesbrough,2023,Female,All ages,,,,292.985547548788
