Area Code,Area Name,Count,Denominator,Indicator ID,Lower CI 95.0 limit,Lower CI 99.8 limit,Parent Code,Upper CI 95.0 limit,Upper CI 99.8 limit,Value
E92000001,England,9819.7,3905564.0,93769,286.8070323,283.5119587,nan,298.4618202,301.8709443,292.5909707
E10000034,Worcestershire,5505.4,609216.0,93769,757.6737986,746.0229041,E92000001,799.1583183,811.3511733,778.2094274
E92000001,England,249329.0,6142886.0,258,4.04324879888406,4.03429234722337,nan,4.07445889779832,4.08350072795591,4.05882511900758
E08000035,Leeds,53637.0,864881.0,90933,6.1509923,6.121988502,E92000001,6.252624327,6.282239993,6.201662425
E06000020,Telford and Wrekin,8273.0,157545.0,258,5.141897538,5.080145273,E92000001,5.362146698,5.427326615,5.25119807
E92000001,England,,,93769,,,nan,,,
E09000032,Wandsworth,1307.22,158080.0,93769,1543.250065,1492.550502,E92000001,1728.920035,1784.589188,1634.185207
E08000031,Wolverhampton,8924.0,210194.0,258,4.160128353,4.111728855,E92000001,4.332347058,4.383370319,4.245601682
E92000001,England,35353.33,2825250.0,93769,1333.22877974822,1325.15918317318,E92000001,1361.50614046798,1369.72165030528,1347.31191451685
E09000007,Camden,1047.46,106088.0,93769,1588.523218,1531.238202,E92000001,1799.675113,1863.271271,1691.684971
E10000015,Hertfordshire,7360.35,580397.0,93769,1483.593265,1463.787148,E92000001,1553.863528,1574.463768,1518.425729
E92000001,England,188411.0,4513841.0,258,4.15566155316011,4.14507969206973,nan,4.19256162894281,4.20325939005752,4.17407259139168
E92000001,England,7682.41,2793107.0,93769,253.278119136026,249.985779647309,nan,264.953372601958,268.37486231074,259.06652463939
E06000038,Reading,12138.0,220073.0,90933,5.420833887,5.367077047,E92000001,5.611221934,5.667418896,5.515442603
E06000058,"Bournemouth, Christchurch and Poole",2335.77,404050.0,93769,502.111987833085,490.185025790685,E92000001,545.188879815551,557.979105429579,523.320849781115
E08000025,Birmingham,39466.0,1076349.0,258,3.631290641,3.611064363,E92000001,3.702271083,3.723015906,3.666654589
E10000003,Cambridgeshire,16499.0,563918.0,258,2.882048327,2.857193271,E92000001,2.970003779,2.995863567,2.925779989
E09000010,Enfield,391.35,174449.0,93769,243.5058271,229.2023581,E92000001,298.371105,315.3506855,269.9109508
E06000010,Kingston upon Hull,296.74,134284.0,93769,222.5343124,207.6500254,E92000001,280.5158326,298.6446384,250.277537
E09000026,Redbridge,6588.0,232766.0,258,2.763674177,2.726016548,E92000001,2.898141769,2.93823815,2.830310269
E09000029,Sutton,201.34,108141.0,93769,177.1279969,162.6104186,E92000001,235.1623477,253.6155216,204.6283387
E08000035,Leeds,4245.56,786739.0,93769,647.9638257,636.607831,E92000001,688.5474889,700.5071085,668.0254341
E06000042,Milton Keynes,202.52,143871.0,93769,149.2504998,137.0340185,E92000001,198.0651253,213.5824067,172.3856877
E06000050,Cheshire West and Chester,2657.74,353362.0,93769,678.8728804,663.8680498,E92000001,732.9274325,748.9479407,705.5124777
E10000017,Lancashire,1751.09,618225.0,93769,249.7831551,242.9541465,E92000001,274.6052215,282.0085227,261.9747966
E08000003,Manchester,548.93,291020.0,93769,285.805924874606,271.555221066511,E92000001,339.59819605087,356.066579254812,311.851834735524
E06000044,Portsmouth,5487.0,186431.0,258,2.867221576,2.824492855,E92000001,3.020626379,3.066393021,2.943180051
E92000001,England,361522.0,5350006.0,90933,6.73617397485066,6.72395410015538,nan,6.77871408863866,6.79102623664858,6.75741298234058
E06000006,Halton,4450.0,108505.0,258,3.98446794,3.919290103,E92000001,4.220393415,4.290668873,4.101193493
E06000010,Kingston upon Hull,8200.0,247785.0,258,3.239451766,3.200030031,E92000001,3.380297495,3.421988101,3.30932058
E06000050,Cheshire West and Chester,2099.69,170926.0,93769,1181.337295,1151.746956,E92000001,1288.449786,1320.303825,1234.029101
E09000023,Lewisham,1254.68,142345.0,93769,1501.618173,1450.019961,E92000001,1690.795751,1747.562008,1594.231036
E10000003,Cambridgeshire,48472.0,723515.0,90933,6.642121427,6.609243602,E92000001,6.757253191,6.790854579,6.699515559
E08000019,Sheffield,2469.44,274157.0,93769,1044.120169,1020.04747,E92000001,1130.966303,1156.731758,1086.897031
E09000031,Waltham Forest,1606.93,279795.0,93769,900.5560526,874.1182256,E92000001,996.8531113,1025.616402,947.8160293
E92000001,England,4506.04,1964254.0,93769,203.2595376,199.7970424,E92000001,215.6227095,219.2637047,209.3730493
E09000009,Ealing,22015.0,417689.0,90933,5.203225395,5.164849154,E92000001,5.338731668,5.37840029,5.270667889
E10000034,Worcestershire,5203.3,604902.0,93769,728.7072367,717.1915908,E92000001,769.7413186,781.8083587,749.0140345
E06000051,Shropshire,3248.06,319729.0,93769,798.3683532,782.3417187,E92000001,855.8929204,872.8975004,826.7574914
E06000004,Stockton-on-Tees,260.86,99864.0,93769,234.8803159,218.0779319,E92000001,300.8596677,321.597743,266.3555858
E09000013,Hammersmith and Fulham,601.08,88430.0,93769,1156.966293,1100.691549,E92000001,1368.57235,1433.185923,1259.573486
E08000032,Bradford,441.04,279108.0,93769,167.6631938,158.4662705,E92000001,202.729713,213.5384383,184.5779331
E06000053,Isles of Scilly,74.0,1953.0,258,3.015062857,2.675091713,E92000001,4.701453947,5.324706363,3.789042499
E08000021,Newcastle upon Tyne,1467.58,144562.0,93769,1367.299824,1325.960319,E92000001,1518.222554,1563.375251,1441.303861
E06000053,Isles of Scilly,88.0,1951.0,258,3.657585615,3.264390868,E92000001,5.499167184,6.171738984,4.510507432
E92000001,England,6333.37,2773748.0,93769,198.078937,195.2353825,E92000001,208.1856449,211.152315,203.0853593
E09000019,Islington,899.95,103584.0,93769,1553.633464,1490.715402,E92000001,1786.686002,1857.116759,1667.284581
E09000004,Bexley,231.75,128044.0,93769,162.8758919,150.4362204,E92000001,212.1087517,227.6625192,186.2931966
E92000001,England,34731.2,2620324.0,93769,1334.427171,1326.270039,E92000001,1363.013918,1371.319875,1348.663891
E06000009,Blackpool,1093.8,69543.0,93769,1433.770361,1383.878838,E92000001,1617.426193,1672.689923,1523.543511
E06000015,Derby,12668.0,231902.0,258,5.370929823,5.318622563,E92000001,5.555487485,5.610113005,5.462652327
E06000013,North Lincolnshire,12316.0,177069.0,90933,6.837863955,6.771006444,E92000001,7.074489739,7.144287116,6.955480632
E06000052,Cornwall,24389.0,446903.6044,258,5.391049136,5.353277206,E92000001,5.524186322,5.563161384,5.457328998
E09000018,Hounslow,5707.0,246306.0,258,2.258334449,2.225194475,E92000001,2.37688432,2.412352777,2.317036532
E06000016,Leicester,8920.0,331381.0,258,2.637115193,2.606290376,E92000001,2.747259036,2.779801661,2.691765672
E92000001,England,4715.39,1804292.0,93769,268.83937,264.38691,nan,284.72681,289.40351,276.69758
E08000019,Sheffield,39891.0,576983.0,90933,6.848509734,6.811179803,E92000001,6.979361938,7.017594947,6.913721895
E08000034,Kirklees,13625.0,344417.0,258,3.891315039,3.854522835,E92000001,4.021388468,4.059791563,3.955960362
E92000001,England,5395.64,2553304.0,93769,201.6512631,198.5185124,E92000001,212.8088216,216.0888093,207.1739044
E06000040,Windsor and Maidenhead,4686.0,134359.0,258,3.390818437,3.336346203,E92000001,3.586557078,3.645198238,3.48767109
E09000008,Croydon,392.69,203134.0,93769,203.4350407,191.5267413,E92000001,249.1048419,263.2369555,225.4161034
E09000033,Westminster,938.31,102207.0,93769,1324.325955,1273.701763,E92000001,1511.581894,1568.118305,1415.691579
E09000006,Bromley,1885.06,158169.0,93769,1291.174565,1257.165526,E92000001,1414.5781,1451.339207,1351.825158
E08000004,Oldham,6394.0,176291.8069,258,3.540643264,3.491748517,E92000001,3.71478256,3.766845663,3.626941099
E92000001,England,1917102.0,48459095.0,258,3.950638881,3.947480082,nan,3.961615147,3.964785396,3.956124232
E92000001,England,,,93769,,,nan,,,
E06000022,Bath and North East Somerset,866.4,191974.0,93769,422.5805868,406.1165665,E92000001,483.6428425,502.1128595,452.3439149
E06000066,Somerset UA,3441.36,276772.0,93769,1038.630884,1018.368117,E92000001,1111.288453,1132.75131,1074.501804
E09000005,Brent,12763.0,459620.0,258,2.7297322,2.702937618,E92000001,2.824592379,2.852623382,2.776859145
E92000001,England,295928.0,6218910.0,258,4.74181500931647,4.73220767967752,E92000001,4.77527843412614,4.78496881410576,4.75851877579833
E06000035,Medway,310.71,141685.0,93769,213.7995551,199.8170378,E92000001,268.1199528,285.0735378,239.8176483
E06000015,Derby,1759.07,261999.0,93769,740.1740286,720.0139134,E92000001,813.4440611,835.2955404,776.1629152
E10000029,Suffolk,5279.68,372915.0,93769,1286.601371,1266.385439,E92000001,1358.623203,1379.799911,1322.245956
E10000012,Essex,10670.94,1469674.0,93769,692.8042763,685.1772503,E92000001,719.7596164,727.6396917,706.1855368
E06000065,North Yorkshire UA,21936.0,479659.0,258,4.514420991,4.480906664,E92000001,4.632629022,4.667285362,4.573248912
E06000060,Buckinghamshire UA,643.12,290091.0,93769,193.545458557818,184.751184787501,E92000001,226.523266496813,236.574131447281,209.552900917382
E92000001,England,,,93769,,,nan,,,
E92000001,England,18099.77,1978038.0,93769,943.6111357,935.6260803,nan,971.7079843,979.8956172,957.5824127
E06000004,Stockton-on-Tees,2002.58,197509.0,93769,1023.059832,996.9509494,E92000001,1117.668174,1145.824274,1069.582154
E06000033,Southend-on-Sea,1152.68,181276.0,93769,601.4719303,581.2168951,E92000001,675.916047,698.2925404,637.882692
E09000004,Bexley,242.23,126516.0,93769,179.642497,166.2017028,E92000001,232.6785828,249.4013289,204.8971242
E92000001,England,276407.0,4178026.0,90933,6.59193826608893,6.57825319890653,E92000001,6.63960536658645,6.65340897776258,6.61573192699136
E08000036,Wakefield,354.56,178516.0,93769,172.9879718,162.4221174,E92000001,213.7298304,226.3827524,192.557165
E08000022,North Tyneside,1834.5,205766.0,93769,825.5408344,803.5152768,E92000001,905.5118045,929.3451662,864.8357727
E10000011,East Sussex,770.7,286211.0,93769,189.6501,181.6433217,E92000001,219.4686221,228.5137628,204.1617711
E06000051,Shropshire,2594.78,161354.0,93769,1266.707299,1238.172011,E92000001,1369.552643,1400.043632,1317.383457
E09000020,Kensington and Chelsea,2691.0,169163.0,258,1.532215166,1.499356726,E92000001,1.651032777,1.687330485,1.590773396
E92000001,England,25222.94,4121196.0,93769,580.85197,576.69642,nan,595.4416,599.68627,588.11285
E06000058,"Bournemouth, Christchurch and Poole",457.47,204059.0,93769,179.4348889,169.6094765,E92000001,216.8317957,228.3451659,197.4857036
E09000031,Waltham Forest,5595.0,229782.2077,258,2.372641864,2.337551209,E92000001,2.498411031,2.535991748,2.434914372
E08000018,Rotherham,19269.0,250143.0,90933,7.599336409,7.539999107,E92000001,7.808013839,7.869398108,7.703193773
E09000021,Kingston upon Thames,153.85,87395.0,93769,172.5541898,156.3357879,E92000001,238.7891675,260.1383439,203.6903883
E06000024,North Somerset,1639.99,217385.0,93769,604.1692388,587.0469391,E92000001,666.5040624,685.1164721,634.7673115
E08000004,Oldham,1835.48,120674.0,93769,1808.90175900201,1759.94739635712,E92000001,1986.64433410011,2039.61563167007,1896.23865551884
E06000036,Bracknell Forest,727.8,125195.0,93769,642.889797,615.4433951,E92000001,745.320648,776.4371093,692.699674
E92000001,England,3982.25,2210773.0,93769,177.8987858,174.6713507,E92000001,189.4442428,192.8489765,183.603886
E92000001,England,42864.8,5379067.0,93769,742.6093304,738.5386014,nan,756.8603446,760.9978603,749.7094158
E10000007,Derbyshire,60897.0,778656.0,90933,7.761347996,7.727258518,E92000001,7.880527123,7.915272486,7.820783504
E92000001,England,46773.76,3482476.0,93769,1345.859618,1338.782958,nan,1370.623994,1377.811759,1358.199517
E06000039,Slough,940.55,157632.0,93769,950.83312,913.9591803,E92000001,1087.217018,1128.391888,1017.379305
E08000027,Dudley,2746.55,158358.0,93769,1713.887387,1676.279031,E92000001,1849.285833,1889.39693,1780.631385
E06000037,West Berkshire,6201.0,125292.0,258,4.830567343,4.763309011,E92000001,5.070000669,5.141596432,4.949238579
E06000011,East Riding of Yorkshire,13519.0,267331.0,258,4.974473184,4.92761013,E92000001,5.140557035,5.189448448,5.057026682
E06000058,"Bournemouth, Christchurch and Poole",22619.0,373246.0,258,5.983927525,5.940568071,E92000001,6.136908166,6.181689737,6.06007834
