Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
90933,Asthma: QOF prevalence,,,E92000001,England,England,Persons,6+ yrs,,,2020/21,6.375014325,6.368670626,6.381362435,6.365015274,6.385027048,3629071,56926476,,,Not compared,Not compared,20200000,,,1y
90933,Asthma: QOF prevalence,,,E92000001,England,England,Persons,6+ yrs,"CCG deprivation deciles in England (IMD2019, 2021 CCGs)",Most deprived decile,2020/21,6.62257592612967,6.59875322638378,6.64647851004927,6.58505146104729,6.66029897611443,276284,4171851,Aggregated from all known lower geography values,,Higher 99.8,Not compared,20200000,,,1y
90933,Asthma: QOF prevalence,,,E92000001,England,England,Persons,6+ yrs,"CCG deprivation deciles in England (IMD2019, 2021 CCGs)",Second most deprived decile,2020/21,6.71491394023084,6.69149694308512,6.7384069675182,6.67802738998948,6.75198949460796,293710,4373995,Aggregated from all known lower geography values,,Higher 99.8,Not compared,20200000,,,1y
90933,Asthma: QOF prevalence,,,E92000001,England,England,Persons,6+ yrs,"CCG deprivation deciles in England (IMD2019, 2021 CCGs)",Third more deprived decile,2020/21,6.95745683481774,6.93255176146928,6.9824446665927,6.9182271219168,6.99689227774374,278011,3995871,Aggregated from all known lower geography values,,Higher 99.8,Not compared,20200000,,,1y
90933,Asthma: QOF prevalence,,,E92000001,England,England,Persons,6+ yrs,"CCG deprivation deciles in England (IMD2019, 2021 CCGs)",Fourth more deprived decile,2020/21,5.83249137654719,5.81560799414424,5.84942072926973,5.80589258972258,5.85920444153778,430532,7381614,Aggregated from all known lower geography values,,Lower 99.8,Not compared,20200000,,,1y
90933,Asthma: QOF prevalence,,,E92000001,England,England,Persons,6+ yrs,"CCG deprivation deciles in England (IMD2019, 2021 CCGs)",Fifth more deprived decile,2020/21,6.37575300107002,6.35408823207563,6.39748659148903,6.34162587757723,6.4100512084952,310500,4870013,Aggregated from all known lower geography values,,Similar,Not compared,20200000,,,1y
90933,Asthma: QOF prevalence,,,E92000001,England,England,Persons,6+ yrs,"CCG deprivation deciles in England (IMD2019, 2021 CCGs)",Fifth less deprived decile,2020/21,6.15760944657074,6.14274517229196,6.17250732408765,6.13418853180402,6.18111389604509,617236,10023955,Aggregated from all known lower geography values,,Lower 99.8,Not compared,20200000,,,1y
90933,Asthma: QOF prevalence,,,E92000001,England,England,Persons,6+ yrs,"CCG deprivation deciles in England (IMD2019, 2021 CCGs)",Fourth less deprived decile ,2020/21,6.54230024453209,6.52064065984149,6.56402672375959,6.50818042204511,6.57658636088491,326537,4991165,Aggregated from all known lower geography values,,Higher 99.8,Not compared,20200000,,,1y
90933,Asthma: QOF prevalence,,,E92000001,England,England,Persons,6+ yrs,"CCG deprivation deciles in England (IMD2019, 2021 CCGs)",Third less deprived decile,2020/21,6.91230878970895,6.88788062958312,6.93681713102663,6.87382984582745,6.95098705685052,285384,4128635,Aggregated from all known lower geography values,,Higher 99.8,Not compared,20200000,,,1y
90933,Asthma: QOF prevalence,,,E92000001,England,England,Persons,6+ yrs,"CCG deprivation deciles in England (IMD2019, 2021 CCGs)",Second least deprived decile,2020/21,6.37572566757731,6.35837403627888,6.393121417666,6.34838776501625,6.40317324556786,484351,7596798,Aggregated from all known lower geography values,,Similar,Not compared,20200000,,,1y
90933,Asthma: QOF prevalence,,,E92000001,England,England,Persons,6+ yrs,"CCG deprivation deciles in England (IMD2019, 2021 CCGs)",Least deprived decile ,2020/21,6.05509905371808,6.0350001886007,6.07526052799045,6.0234380360387,6.08691571219845,326526,5392579,Aggregated from all known lower geography values,,Lower 99.8,Not compared,20200000,,,1y
90933,Asthma: QOF prevalence,,,E92000001,England,England,Persons,6+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/23 geography)",Most deprived decile (IMD2019),2020/21,6.55050403044948,6.53009567355074,6.57097168523014,6.5183535446798,6.58280192549583,368762,5629521,"Should be treated with caution, as it contains areas for which values have not been presented due to Nottingham University Hospitals Trust coding over 30% of HES records without valid geography of residence in 2016/17",,Higher 99.8,Not compared,20200000,,,1y
90933,Asthma: QOF prevalence,,,E92000001,England,England,Persons,6+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/23 geography)",Second most deprived decile (IMD2019),2020/21,6.422434499417,6.39696966939299,6.44799371593457,6.38232749911462,6.46277613603374,227813,3547144,Aggregated from all known lower geography values,,Higher 99.8,Not compared,20200000,,,1y
