numeric_area_code,composite_area_code,Local Authority,PM2.5 2012 (total),PM2.5 2012 (non-anthropogenic),PM2.5 2012 (anthropogenic),PM2.5 2013 (total),PM2.5 2013 (non-anthropogenic),PM2.5 2013 (anthropogenic),PM2.5 2014 (total),PM2.5 2014 (non-anthropogenic),PM2.5 2014 (anthropogenic),PM2.5 2015 (total),PM2.5 2015 (non-anthropogenic),PM2.5 2015 (anthropogenic),PM2.5 2016 (total),PM2.5 2016 (non-anthropogenic),PM2.5 2016 (anthropogenic),PM2.5 2017 (total),PM2.5 2017 (non-anthropogenic),PM2.5 2017 (anthropogenic),PM2.5 2018 (total),PM2.5 2018 (non-anthropogenic),PM2.5 2018 (anthropogenic),PM2.5 2019 (total),PM2.5 2019 (non-anthropogenic),PM2.5 2019 (anthropogenic),PM2.5 2020 (total),PM2.5 2020 (non-anthropogenic),PM2.5 2020 (anthropogenic),PM2.5 2021 (total),PM2.5 2021 (non-anthropogenic),PM2.5 2021 (anthropogenic),PM2.5 2022 (total),PM2.5 2022 (non-anthropogenic),PM2.5 2022 (anthropogenic),PM2.5 2023 (total),PM2.5 2023 (non-anthropogenic),PM2.5 2023 (anthropogenic)
1,E07000223,Adur,10.6389,2.2917,8.3472,10.6921,2.2585,8.4336,9.9463,2.2662,7.6801,9.4679,1.3994,8.0684,11.1224,0.5557,10.5668,10.702,0.7985,9.9035,10.496,0.5662,9.9298,9.6324,0.567,9.0653,7.9781,0.6785,7.2997,7.0149,0.4359,6.5789,6.1201,0.4796,5.6405,6.545,0.677,5.868
2,E07000026,Allerdale,6.5756,1.9619,4.6137,7.7929,2.0712,5.7217,7.4504,1.9418,5.5087,6.1961,1.0085,5.1876,5.2984,0.4031,4.8953,5.3735,0.4055,4.968,5.3887,0.3368,5.0519,4.814,0.3255,4.4886,3.9649,0.4662,3.4988,4.1881,0.3771,3.8111,4.4952,0.4057,4.0895,,,
4,E07000032,Amber Valley,10.4766,2.0689,8.4077,11.4846,2.1134,9.3712,11.0645,2.0674,8.9972,9.9468,1.0328,8.914,9.9659,0.5396,9.4263,8.9127,0.4447,8.468,7.9524,0.3591,7.5933,9.6358,0.514,9.1218,6.6866,0.511,6.1756,7.3653,0.3931,6.9722,8.4402,0.4471,7.993,7.6181,0.5581,7.0601
5,E07000224,Arun,10.0845,2.2713,7.8132,10.2866,2.2479,8.0387,9.4999,2.2502,7.2496,8.6243,1.38,7.2443,10.438,0.5516,9.8864,9.842,0.6989,9.143,9.6728,0.5327,9.1401,8.8124,0.5649,8.2475,7.5315,0.7056,6.8259,6.6727,0.4561,6.2166,6.1542,0.5002,5.654,6.0371,0.6374,5.3997
6,E07000170,Ashfield,11.1841,2.0643,9.1198,12.4289,2.1252,10.3037,11.9074,2.0773,9.8301,9.5421,1.0325,8.5096,10.0958,0.5362,9.5597,9.1623,0.4417,8.7206,8.4402,0.3745,8.0657,9.9024,0.5091,9.3933,6.8255,0.5113,6.3142,7.1594,0.3942,6.7652,8.0922,0.4392,7.653,7.6735,0.5575,7.116
7,E07000105,Ashford,10.8883,2.1603,8.728,11.7199,2.2039,9.516,11.4673,2.3043,9.163,10.104,1.204,8.9001,10.9474,0.5692,10.3782,10.4543,0.7556,9.6987,10.1286,0.5504,9.5782,9.5548,0.5647,8.9901,7.6244,0.6434,6.981,6.4752,0.3731,6.1021,6.34,0.4963,5.8437,6.5205,0.6598,5.8607
8,,Aylesbury Vale,10.9477,2.124,8.8236,11.0803,2.0981,8.9822,10.5659,2.0649,8.501,9.0835,1.0994,7.9841,10.2357,0.5473,9.6884,10.2587,0.5472,9.7115,10.1362,0.4783,9.6579,10.2015,0.5779,9.6236,7.6366,0.6336,7.003,,,,,,,,,
9,E07000200,Babergh,11.1646,2.0814,9.0832,12.0113,2.1276,9.8837,11.7431,2.1398,9.6033,10.2336,1.0717,9.162,10.2096,0.5462,9.6634,9.9626,0.5769,9.3857,9.9836,0.5024,9.4813,9.921,0.5406,9.3804,7.5412,0.5823,6.9589,6.7571,0.4222,6.3349,7.528,0.4983,7.0297,6.8884,0.6118,6.2766
10,E08000016,Barnsley,10.7621,2.0355,8.7266,11.9634,2.094,9.8694,11.1677,2.0347,9.1329,8.0383,1.0481,6.9903,8.2493,0.4732,7.7761,7.001,0.3401,6.6609,7.4596,0.3153,7.1443,8.9061,0.4647,8.4414,6.2435,0.5293,5.7142,6.5888,0.4299,6.159,6.4921,0.294,6.1981,6.9225,0.5291,6.3935
11,E07000027,Barrow-in-Furness,7.8472,2.0372,5.8099,8.7041,2.0831,6.621,8.4429,2.0042,6.4387,11.4587,1.0579,10.4009,7.4187,0.4031,7.0156,6.9241,0.3632,6.5609,7.3456,0.3023,7.0433,6.7135,0.3257,6.3878,5.7777,0.5536,5.2241,6.6551,0.424,6.2311,7.0509,0.4179,6.633,,,
